Tesla_Inc,Tesla Model S,AWD 60D,2013,68000,Silver Metallic,
Tesla_Inc,Tesla Model X,AWD P90D,2016,109500,Obsidian Black Metallic,
Tesla_Inc,Tesla Model S,AWD 100D,2017,94000,Red Multi-Coat,
Toyota_Motor_Corporation,Lexus LS,500 F Sport,2018,81450,Atomic Silver [Silver],
Toyota_Motor_Corporation,Isuzu D-Max,Isuzu MU-7,2017,139000,Silky White,
Toyota_Motor_Corporation,Lexus,Lexus LFA,2012,375000,Red Multi-Coat,
Volkswagen,Volkswagen Beetle,The Bug,2003,18033,Atomic Silver [Silver],
Volkswagen,The Volkswagen Touareg,R50,2010,35420,Silky White,
Volkswagen,Volkswagen Passat,Passat 3.6 VR6 FSI,2014,48005,Pearl White,
Ford_Motor_Company,Ford Mustang,Mach-E GT,2013,60500,Campanella White,
Ford_Motor_Company,Ford Falcon,Falcon G6E Turbo,2014,47050,Reflex Silver,
Ford_Motor_Company,Ford Fusion Hybrid,Lincoln MKZ Hybrid,2019,42500,Black Magic,
Honda,2020 CR-V Hybrid,EX-L,2020,32750,Red Carpet Metallic,
Honda,Honda Civic,EX-T,2018,20400,Dark Matter Gray,
Honda,Honda WR-V,VX,2018,5384,Silver Radiance Metallic,
